Iso Code	Language Name	Country	Region
mbb	Manobo, Western Bukidnon	Philippines	Asia
mzj	Manya	Liberia	Africa
sjm	Mapun	Philippines	Asia
mrw	Maranao	Philippines	Asia
mar	Marathi	India	Asia
mpg	Marba	Chad	Africa
mhr	Mari, Meadow	Russia	Europe
enb	Markweeta	Kenya	Africa
mah	Marshallese	Marshall Islands	Oceania
myx	Masaaba	Uganda	Africa
klv	Maskelynes	Vanuatu	Oceania
mfh	Matal	India	Asia
met	Mato	Papua New Guinea	Oceania
mcb	Matsigenka	Peru	South America
mop	Maya, Mopán	Belize	Central America
yua	Maya, Yucatec	Mexico	North America
mfy	Mayo	Mexico	North America
maz	Mazahua, Central	Mexico	North America
vmy	Mazatec, Ayautla	Mexico	North America
maq	Mazatec, Chiquihuitlán	Mexico	North America
mzi	Mazatec, Ixcatlán	Mexico	North America
maj	Mazatec, Jalapa de Díaz	Mexico	North America
maa-dialect_sanantonio	Mazatec, San Jerónimo Tecóatl	Mexico	North America
maa-dialect_sanjerónimo	Mazatec, San Jerónimo Tecóatl	Mexico	North America
mhy	Ma’anyan	Indonesia	Asia
mhi	Ma’di	South Sudan	Africa
zmz	Mbandja	Central African Republic	Africa
myb	Mbay	Chad	Africa
gai	Mbore	Papua New Guinea	Oceania
mqb	Mbuko	Cameroon	Africa
mbu	Mbula-Bwazza	Nigeria	Africa
med	Melpa	Papua New Guinea	Oceania
men	Mende	Sierra Leone	Africa
mee	Mengen	Papua New Guinea	Oceania
mwv	Mentawai	Indonesia	Asia
meq	Merey	Cameroon	Africa
zim	Mesme	Nigeria	Africa
mgo	Meta’	Cameroon	Africa
mej	Meyah	Indonesia	Asia
mpp	Migabac	Cameroon	Africa
min	Minangkabau	Indonesia	Asia
gum	Misak	Colombia	South America
mpx	Misima-Panaeati	Papua New Guinea	Oceania
mco	Mixe, Coatlán	Mexico	North America
mxq	Mixe, Juquila	Mexico	North America
pxm	Mixe, Quetzaltepec	Mexico	North America
mto	Mixe, Totontepec	Mexico	North America
mim	Mixtec, Alacatlatzala	Mexico	North America
xta	Mixtec, Alcozauca	Mexico	North America
mbz	Mixtec, Amoltepec	Mexico	North America
mip	Mixtec, Apasco-Apoala	Mexico	North America
mib	Mixtec, Atatlahuca	Mexico	North America
miy	Mixtec, Ayutla	Mexico	North America
mih	Mixtec, Chayuco	Mexico	North America
miz	Mixtec, Coatzospan	Mexico	North America
xtd	Mixtec, Diuxi-Tilantongo	Mexico	North America
mxt	Mixtec, Jamiltepec	Mexico	North America
xtm	Mixtec, Magdalena Peñasco	Mexico	North America
mxv	Mixtec, Metlatónoc	Mexico	North America
xtn	Mixtec, Northern Tlaxiaco	Mexico	North America
mie	Mixtec, Ocotepec	Mexico	North America
mil	Mixtec, Peñoles	Mexico	North America
mio	Mixtec, Pinotepa Nacional	Mexico	North America
mdv	Mixtec, Santa Lucía Monteverde	Mexico	North America
mza	Mixtec, Santa María Zacatepec	Mexico	North America
mit	Mixtec, Southern Puebla	Mexico	North America
mxb	Mixtec, Tezoatlán	Mexico	North America
mpm	Mixtec, Yosondúa	Mexico	North America
soy	Miyobe	Cameroon	Africa
cmo-script_latin	Mnong, Central	Vietnam	Asia
cmo-script_khmer	Mnong, Central	Vietnam	Asia
mfq	Moba	Ghana	Africa
old	Mochi	Nigeria	Africa
mfk	Mofu, North	Cameroon	Africa
mif	Mofu-Gudur	Cameroon	Africa
mkl	Mokole	Guinea	Africa
mox	Molima	Papua New Guinea	Oceania
myl	Moma	Indonesia	Asia
mqf	Momuna	Indonesia	Asia
mnw	Mon	Myanmar	Asia
mon	Mongolian	Mongolia	Asia
mog	Mongondow	Indonesia	Asia
mfe	Morisyen	Mauritius	Africa
mor	Moro	Sudan	Africa
mqn	Moronene	Indonesia	Asia
mgd	Moru	South Sudan	Africa
mtj	Moskona	Indonesia	Asia
cmr	Mro-Khimi	Bangladesh	Asia
mtd	Mualang	Indonesia	Asia
bmr	Muinane	Colombia	South America
moz	Mukulu	Nigeria	Africa
